# BEGIN PLOT
DrawOnly=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/HT Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/HT Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/HT
RatioPlotReference=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/HT
RatioPlot=1
LogY=1
XLabel=$\mathrm{H}_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dH}_{\mathrm{T}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/HT
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/HT
ScaledBy=9.1029662776149012e-05
Title=Rivet_ATLASH_FULL_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
Path=Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/HT
ScaledBy=0.0022271237432898465
Title=Rivet_ATLASH_WW_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	2.253618e-03	3.146455e-05	3.146455e-05
1.800000e+02	2.400000e+02	3.274993e-03	3.793033e-05	3.793033e-05
2.400000e+02	3.000000e+02	3.216567e-03	3.759047e-05	3.759047e-05
3.000000e+02	3.600000e+02	2.656457e-03	3.416118e-05	3.416118e-05
3.600000e+02	4.200000e+02	1.861322e-03	2.859513e-05	2.859513e-05
4.200000e+02	4.800000e+02	1.252888e-03	2.346052e-05	2.346052e-05
4.800000e+02	5.400000e+02	7.806392e-04	1.851853e-05	1.851853e-05
5.400000e+02	6.000000e+02	4.950930e-04	1.474772e-05	1.474772e-05
6.000000e+02	6.600000e+02	2.947715e-04	1.137952e-05	1.137952e-05
6.600000e+02	7.200000e+02	2.020788e-04	9.421972e-06	9.421972e-06
7.200000e+02	7.800000e+02	1.186114e-04	7.218464e-06	7.218464e-06
7.800000e+02	8.400000e+02	7.951360e-05	5.910201e-06	5.910201e-06
8.400000e+02	9.000000e+02	5.666992e-05	4.989508e-06	4.989508e-06
9.000000e+02	9.600000e+02	3.426553e-05	3.879807e-06	3.879807e-06
9.600000e+02	1.020000e+03	2.020788e-05	2.979489e-06	2.979489e-06
1.020000e+03	1.080000e+03	2.196508e-05	3.106332e-06	3.106332e-06
1.080000e+03	1.140000e+03	1.273975e-05	2.365712e-06	2.365712e-06
1.140000e+03	1.200000e+03	9.225335e-06	2.013133e-06	2.013133e-06
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/HT
ErrorBars=1
LineColor={[HTML]{109618}}
LineStyle=solid
Path=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/HT
ScaledBy=0.0017185625777299746
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	2.408168e-03	2.857165e-05	2.857165e-05
1.800000e+02	2.400000e+02	3.403097e-03	3.396480e-05	3.396480e-05
2.400000e+02	3.000000e+02	3.393605e-03	3.391740e-05	3.391740e-05
3.000000e+02	3.600000e+02	2.630205e-03	2.985979e-05	2.985979e-05
3.600000e+02	4.200000e+02	1.768160e-03	2.448232e-05	2.448232e-05
4.200000e+02	4.800000e+02	1.140016e-03	1.965836e-05	1.965836e-05
4.800000e+02	5.400000e+02	7.156030e-04	1.557500e-05	1.557500e-05
5.400000e+02	6.000000e+02	4.294973e-04	1.206625e-05	1.206625e-05
6.000000e+02	6.600000e+02	2.728850e-04	9.617935e-06	9.617935e-06
6.600000e+02	7.200000e+02	1.715277e-04	7.625338e-06	7.625338e-06
7.200000e+02	7.800000e+02	1.098320e-04	6.101778e-06	6.101778e-06
7.800000e+02	8.400000e+02	6.915348e-05	4.841712e-06	4.841712e-06
8.400000e+02	9.000000e+02	4.949220e-05	4.096003e-06	4.096003e-06
9.000000e+02	9.600000e+02	3.830560e-05	3.603488e-06	3.603488e-06
9.600000e+02	1.020000e+03	2.033927e-05	2.625787e-06	2.625787e-06
1.020000e+03	1.080000e+03	1.457647e-05	2.222890e-06	2.222890e-06
1.080000e+03	1.140000e+03	7.796717e-06	1.625728e-06	1.625728e-06
1.140000e+03	1.200000e+03	7.457728e-06	1.589993e-06	1.589993e-06
# END HISTO1D

